Operation_id,book_copy_id,booth_id,user_id,operation_type,operation_date,due_date,book_status_id,notes
64,21,5,26,borrow,2026-01-09 09:20:00,2026-02-06,3,Standard period
65,37,1,43,borrow,2026-01-10 13:30:00,2026-02-07,3,Regular loan
66,49,2,32,borrow,2026-01-11 10:45:00,2026-02-08,3,Standard loan
67,63,3,45,borrow,2026-01-12 15:15:00,2026-02-09,3,Premium subscription
68,75,4,24,borrow,2026-01-13 11:00:00,2026-02-10,3,Regular member
69,88,5,55,borrow,2026-01-14 14:40:00,2026-02-11,3,Current active loan
70,60,1,21,return,2026-01-10 16:30:00,,1,Early return - excellent
71,72,3,40,return,2026-01-11 12:20:00,,1,Good condition
72,84,2,49,return,2026-01-12 10:15:00,,1,Perfect condition
73,95,5,17,return,2026-01-13 15:40:00,,1,On-time return
74,60,1,,shelve,2026-01-10 17:00:00,,1,Auto-shelved
75,72,3,2,shelve,2026-01-11 13:00:00,,1,Manual shelve
76,84,2,,shelve,2026-01-12 11:00:00,,1,System shelve
77,95,5,1,shelve,2026-01-13 16:15:00,,1,Inspected and shelved
78,105,1,1,transfer,2026-01-08 09:00:00,,1,New year inventory redistribution
79,110,3,2,transfer,2026-01-09 14:30:00,,1,Demand-based transfer
80,6,2,1,transfer,2026-01-10 10:15:00,,1,Balancing popular titles
